# zmid	nbar (1x10^6 h^-1Mpc)
    0.005000  4090.814786
    0.015000  4090.814786
    0.025000  4090.814786
    0.035000  4090.814786
    0.045000  4090.814786
    0.055000  3934.457103
    0.065000  3934.457103
    0.075000  3934.457103
    0.085000  3934.457103
    0.095000  3934.457103
    0.105000  2864.890864
    0.115000  2864.890864
    0.125000  2864.890864
    0.135000  2864.890864
    0.145000  2864.890864
    0.155000     0.000000
    0.165000     0.000000
    0.175000     0.000000
    0.185000     0.000000
    0.195000     0.000000
    0.205000     0.000000
    0.215000     0.000000
    0.225000     0.000000
    0.235000     0.000000
    0.245000     0.000000
    0.255000     0.000000
    0.265000     0.000000
    0.275000     0.000000
    0.285000     0.000000
    0.295000     0.000000
    0.305000     0.000000
    0.315000     0.000000
    0.325000     0.000000
    0.335000     0.000000
    0.345000     0.000000
    0.355000     0.000000
    0.365000     0.000000
    0.375000     0.000000
    0.385000     0.000000
    0.395000     0.000000
