#    cz      cz_hist     nbar (x1e6)
     250.000000         0.000000         0.000000
     750.000000         3.792609       787.408459
    1250.000000         7.673292      1796.282938
    1750.000000         9.076708      2251.441517
    2250.000000        10.957391      2393.933023
    2750.000000        16.198487      2459.535967
    3250.000000        26.041159      2562.811666
    3750.000000        40.084588      2697.104240
    4250.000000        57.856561      2850.487496
    4750.000000        78.884870      3011.035241
    5250.000000       102.697303      3166.821282
    5750.000000       128.822721      3306.178430
    6250.000000       156.814625      3423.396561
    6750.000000       186.251158      3518.722622
    7250.000000       216.711533      3592.662563
    7750.000000       247.774965      3645.722332
    8250.000000       279.020667      3678.407879
    8750.000000       310.027852      3691.225152
    9250.000000       340.375734      3684.680100
    9750.000000       369.643527      3659.278672
   10250.000000       397.410445      3615.526819
   10750.000000       423.255702      3553.930488
   11250.000000       446.758510      3474.995628
   11750.000000       467.519239      3379.294763
   12250.000000       485.624826      3268.931599
   12750.000000       501.648779      3147.541032
   13250.000000       516.185759      3018.824529
   13750.000000       529.830428      2886.483556
   14250.000000       543.177448      2754.219582
   14750.000000       556.821480      2625.734074
   15250.000000       571.357187      2504.728499
   15750.000000       587.379231      2394.904325
   16250.000000       605.482273      2299.963019
   16750.000000       626.273392      2223.513092
   17250.000000       650.645248      2167.025070
   17750.000000       679.776085      2129.831493
   18250.000000       714.856564      2111.171943
   18750.000000       756.996408      2110.184303
   19250.000000       805.443821      2123.667293
   19750.000000       857.585487      2146.080478
   20250.000000       910.727152      2171.781716
   20750.000000       962.174565      2195.128869
   21250.000000      1009.233472      2210.479797
   21750.000000      1049.209623      2212.192359
   22250.000000      1079.408763      2194.624417
   22750.000000      1097.223768      2152.347543
   23250.000000      1102.051463      2084.848707
   23750.000000      1095.292616      1996.530272
   24250.000000      1078.435127      1892.008317
   24750.000000      1052.966893      1775.898919
   25250.000000      1020.375814      1652.818156
   25750.000000       982.149788      1527.382105
   26250.000000       939.776713      1404.206844
   26750.000000       894.877940      1287.948032
   27250.000000       852.144222      1184.171700
   27750.000000       819.335717      1099.354250
   28250.000000       804.346032      1040.011666
   28750.000000       812.785480      1010.193268
   29250.000000       797.748557       957.215136
   29750.000000       659.813943       771.660104
   30250.000000       297.277020       341.644347
   30750.000000         0.000000         0.000000
