# L  T  POL  MV
1.000000000000000000e+00 1.098592984481331572e-07 4.433354578739132822e-08 2.214221781432635855e-08
2.000000000000000000e+00 6.892976364589616913e-08 1.025649776554245901e-08 7.692528672074926916e-09
3.000000000000000000e+00 6.307722334471717513e-08 8.603519030102509705e-09 6.613990357641825305e-09
4.000000000000000000e+00 6.101917748744258501e-08 8.082712848311190608e-09 6.263130160124243718e-09
5.000000000000000000e+00 6.005141448068401679e-08 7.845496855630589144e-09 6.101653797258140586e-09
6.000000000000000000e+00 5.952170897174119261e-08 7.716331700161957924e-09 6.013407429620713026e-09
7.000000000000000000e+00 5.920422773840161517e-08 7.637982292816968323e-09 5.959877443740318069e-09
8.000000000000000000e+00 5.900222917539550752e-08 7.586871010881892441e-09 5.925050790387123763e-09
9.000000000000000000e+00 5.886890819011174708e-08 7.551744125625360426e-09 5.901246288824674249e-09
1.000000000000000000e+01 5.877899336879442048e-08 7.526649290495829636e-09 5.884384581369938928e-09
1.100000000000000000e+01 5.871807023581068290e-08 7.508187549376495600e-09 5.872132319188707110e-09
1.200000000000000000e+01 5.867722375866321570e-08 7.494300202223137772e-09 5.863072264907285211e-09
1.300000000000000000e+01 5.865086604170382981e-08 7.483678647963984603e-09 5.856303493569349450e-09
1.400000000000000000e+01 5.863512999629477054e-08 7.475459108892297334e-09 5.851228975601667553e-09
1.500000000000000000e+01 5.862758002915543561e-08 7.469051239206629270e-09 5.847442560979814101e-09
1.600000000000000000e+01 5.862623047396733641e-08 7.464041625338251011e-09 5.844656990807312138e-09
1.700000000000000000e+01 5.862997879191214835e-08 7.460132241711842434e-09 5.842668196511139008e-09
1.800000000000000000e+01 5.863773493734013250e-08 7.457105339561518207e-09 5.841324256460760305e-09
1.900000000000000000e+01 5.864887144451381805e-08 7.454797234950794055e-09 5.840512888495802225e-09
2.000000000000000000e+01 5.866278270790523523e-08 7.453084592420973654e-09 5.840148140247862113e-09
2.100000000000000000e+01 5.867910511406230629e-08 7.451871373462186308e-09 5.840164134721087248e-09
2.200000000000000000e+01 5.869743165429868780e-08 7.451083627679260128e-09 5.840508934413107124e-09
2.300000000000000000e+01 5.871758780168629806e-08 7.450661960324190734e-09 5.841142166771758401e-09
2.400000000000000000e+01 5.873932014764990319e-08 7.450559937793789062e-09 5.842031266215705783e-09
2.500000000000000000e+01 5.876247719753248081e-08 7.450739209821262249e-09 5.843149885771936357e-09
2.600000000000000000e+01 5.878692341125451452e-08 7.451169501938743719e-09 5.844477027398010190e-09
2.700000000000000000e+01 5.881254259804648566e-08 7.451825152265540998e-09 5.845994865884889336e-09
2.800000000000000000e+01 5.883922933755773565e-08 7.452685762950555281e-09 5.847689156351296059e-09
2.900000000000000000e+01 5.886694866052591762e-08 7.453733617099042086e-09 5.849548040948554772e-09
3.000000000000000000e+01 5.889559291239003171e-08 7.454954574247994800e-09 5.851561299233771851e-09
3.100000000000000000e+01 5.892513664459125585e-08 7.456336086022740743e-09 5.853720521597994415e-09
3.200000000000000000e+01 5.895550847839754217e-08 7.457868079619762590e-09 5.856018519086972342e-09
3.300000000000000000e+01 5.898671459002887612e-08 7.459541486439301676e-09 5.858449417836754853e-09
3.400000000000000000e+01 5.901867753445270320e-08 7.461348956112938513e-09 5.861007790975504526e-09
3.500000000000000000e+01 5.905139922119272335e-08 7.463283804586898342e-09 5.863689240595316892e-09
3.600000000000000000e+01 5.908482645043023097e-08 7.465340530970613599e-09 5.866489770641872803e-09
3.700000000000000000e+01 5.911898090376425781e-08 7.467514127663574993e-09 5.869406302739868647e-09
3.800000000000000000e+01 5.915378474793897184e-08 7.469800371924389152e-09 5.872435378145034795e-09
