# L  T  POL  MV
1.000000000000000000e+00 1.330451695571959169e-07 5.485421472525354285e-08 2.642895413049032890e-08
2.000000000000000000e+00 8.333829948533607567e-08 1.627807144438593083e-08 1.117151006784668066e-08
3.000000000000000000e+00 7.623671804441412538e-08 1.384466872619467869e-08 9.763265326251497893e-09
4.000000000000000000e+00 7.373584774066221242e-08 1.306406637442691566e-08 9.295264473890688960e-09
5.000000000000000000e+00 7.255637544219165927e-08 1.270641739182857105e-08 9.078342384717261062e-09
6.000000000000000000e+00 7.190797516359557258e-08 1.251125717784404299e-08 8.959508439235645709e-09
7.000000000000000000e+00 7.151677111048019564e-08 1.239285869184200581e-08 8.887441248286081414e-09
8.000000000000000000e+00 7.126568044923952910e-08 1.231573150620828134e-08 8.840670999331756087e-09
9.000000000000000000e+00 7.109791735134276401e-08 1.226288500461836452e-08 8.808859425633549151e-09
1.000000000000000000e+01 7.098289707164337480e-08 1.222531458026467461e-08 8.786502887663704519e-09
1.100000000000000000e+01 7.090311750413947558e-08 1.219787159314212004e-08 8.770447760007545121e-09
1.200000000000000000e+01 7.084779899834452603e-08 1.217743417194704126e-08 8.758776347783693519e-09
1.300000000000000000e+01 7.081014601494287582e-08 1.216201668241342583e-08 8.750268257128797282e-09
1.400000000000000000e+01 7.078552080900686080e-08 1.215030746401046014e-08 8.744114554639088313e-09
1.500000000000000000e+01 7.077091733320142242e-08 1.214140984983207583e-08 8.739764239890980373e-09
1.600000000000000000e+01 7.076400345190113849e-08 1.213469548955907949e-08 8.736827690621332331e-09
1.700000000000000000e+01 7.076336172934349860e-08 1.212971145230612323e-08 8.735027729275338701e-09
1.800000000000000000e+01 7.076772569449203827e-08 1.212612651537540772e-08 8.734158306089541370e-09
1.900000000000000000e+01 7.077629836724461432e-08 1.212369183459577952e-08 8.734066867836928619e-09
2.000000000000000000e+01 7.078837099461937619e-08 1.212221967244924242e-08 8.734636625780172455e-09
2.100000000000000000e+01 7.080347891431559556e-08 1.212156400096071496e-08 8.735778096495158003e-09
2.200000000000000000e+01 7.082116120884769699e-08 1.212161216750065251e-08 8.737420710066984118e-09
2.300000000000000000e+01 7.084117097856099105e-08 1.212227386610790121e-08 8.739509711004767910e-09
2.400000000000000000e+01 7.086321976291613449e-08 1.212347829522286557e-08 8.742000740676818401e-09
2.500000000000000000e+01 7.088711656065833602e-08 1.212516716008371769e-08 8.744858096208468094e-09
2.600000000000000000e+01 7.091269705190176564e-08 1.212729424884394925e-08 8.748053138125820208e-09
2.700000000000000000e+01 7.093982113251130116e-08 1.212982055688638610e-08 8.751561844649691253e-09
2.800000000000000000e+01 7.096836628146054642e-08 1.213271491548104114e-08 8.755364745363198660e-09
2.900000000000000000e+01 7.099827242591146481e-08 1.213595039999180365e-08 8.759445805721850543e-09
3.000000000000000000e+01 7.102942631506105531e-08 1.213950538403756916e-08 8.763791148899122221e-09
3.100000000000000000e+01 7.106178440789816740e-08 1.214336080039987977e-08 8.768389431949930122e-09
3.200000000000000000e+01 7.109527057732783894e-08 1.214750123048650626e-08 8.773230913264318598e-09
3.300000000000000000e+01 7.112987279158752171e-08 1.215191289397978836e-08 8.778307646620966092e-09
3.400000000000000000e+01 7.116551488732144806e-08 1.215658453773334663e-08 8.783612267445375522e-09
3.500000000000000000e+01 7.120218570187771907e-08 1.216150599985090202e-08 8.789138945383786847e-09
3.600000000000000000e+01 7.123983196120191464e-08 1.216666885718291402e-08 8.794882221331255064e-09
3.700000000000000000e+01 7.127846158579257044e-08 1.217206549514250670e-08 8.800838025886140982e-09
3.800000000000000000e+01 7.131800367431847054e-08 1.217768945032826103e-08 8.807001729339695569e-09
3.900000000000000000e+01 7.135848872746825748e-08 1.218353491924325754e-08 8.813370636145749551e-09
4.000000000000000000e+01 7.139985697430658054e-08 1.218959683003235797e-08 8.819941102242724853e-09
4.100000000000000000e+01 7.144213497047469341e-08 1.219587067187239391e-08 8.826711132462866046e-09
4.200000000000000000e+01 7.148525609922462582e-08 1.220235238018082417e-08 8.833677532416640420e-09
4.300000000000000000e+01 7.152926026396531928e-08 1.220903837174725675e-08 8.840839022808063964e-09
4.400000000000000000e+01 7.157409195206297015e-08 1.221592533894867530e-08 8.848193031459153921e-09
4.500000000000000000e+01 7.161978383140987029e-08 1.222301033236923137e-08 8.855738504380383948e-09
4.600000000000000000e+01 7.166628573295792762e-08 1.223029063708924771e-08 8.863473309231944458e-09
4.700000000000000000e+01 7.171363862906057222e-08 1.223776373156541491e-08 8.871396794916743117e-09
4.800000000000000000e+01 7.176178520850272384e-08 1.224542738427233398e-08 8.879506980685096901e-09
4.900000000000000000e+01 7.181075992309440774e-08 1.225327932957380492e-08 8.887803241975326551e-09
5.000000000000000000e+01 7.186052352141502053e-08 1.226131776055581487e-08 8.896284160716425404e-09
5.100000000000000000e+01 7.191109861419078916e-08 1.226954053021458749e-08 8.904948998568586735e-09
5.200000000000000000e+01 7.196245327384901582e-08 1.227794621774921332e-08 8.913796633631382912e-09
5.300000000000000000e+01 7.201461362876440102e-08 1.228653269714616836e-08 8.922826427575894594e-09
5.400000000000000000e+01 7.206754334729302800e-08 1.229529890206779725e-08 8.932037424236111223e-09
5.500000000000000000e+01 7.212126883323845370e-08 1.230424267357298081e-08 8.941428931778722243e-09
5.600000000000000000e+01 7.217575360920106557e-08 1.231336325558427643e-08 8.951000154352365736e-09
5.700000000000000000e+01 7.223103145461638680e-08 1.232265847392561031e-08 8.960750551519763086e-09
5.800000000000000000e+01 7.228705830652985749e-08 1.233212778599465785e-08 8.970679318632724787e-09
5.900000000000000000e+01 7.234387066843814879e-08 1.234176915851354698e-08 8.980786016909820752e-09
6.000000000000000000e+01 7.240142770195216605e-08 1.235158199953876024e-08 8.991069878532729179e-09
6.100000000000000000e+01 7.245976818043017450e-08 1.236156519984278157e-08 9.001531009577606204e-09
6.200000000000000000e+01 7.251884985994626620e-08 1.237171757793329537e-08 9.012168298739711536e-09
6.300000000000000000e+01 7.257870813022463583e-08 1.238203797485483782e-08 9.022981764996499065e-09
6.400000000000000000e+01 7.263930577238300793e-08 1.239252524597277580e-08 9.033970406655391504e-09
6.500000000000000000e+01 7.270067166104696634e-08 1.240317826278105554e-08 9.045134162373478645e-09
6.600000000000000000e+01 7.276277060852298858e-08 1.241399590630064618e-08 9.056472080622468730e-09
6.700000000000000000e+01 7.282563476715734550e-08 1.242497706661919891e-08 9.067984143639228860e-09
6.800000000000000000e+01 7.288923013039063619e-08 1.243612064161417619e-08 9.079669440442780605e-09
6.900000000000000000e+01 7.295358320172179842e-08 1.244742553128577620e-08 9.091527894343821367e-09
7.000000000000000000e+01 7.301866683782542745e-08 1.245889063910028571e-08 9.103558658281777713e-09
7.100000000000000000e+01 7.308449935489440852e-08 1.247051487042826549e-08 9.115761527837817661e-09
7.200000000000000000e+01 7.315105686327972311e-08 1.248229712938513063e-08 9.128135733316996407e-09
7.300000000000000000e+01 7.321836432695239935e-08 1.249423632208144761e-08 9.140681165415712475e-09
7.400000000000000000e+01 7.328639432640950482e-08 1.250633134784421201e-08 9.153396979018992371e-09
7.500000000000000000e+01 7.335516819480356016e-08 1.251858110931661294e-08 9.166283030031834423e-09
7.600000000000000000e+01 7.342465797001878001e-08 1.253098449920395102e-08 9.179338427427252092e-09
7.700000000000000000e+01 7.349488829828751094e-08 1.254354041187669440e-08 9.192563076914037306e-09
7.800000000000000000e+01 7.356583106200573086e-08 1.255624773146924561e-08 9.205956086276286906e-09
7.900000000000000000e+01 7.363751169697473469e-08 1.256910534052293506e-08 9.219517350891978641e-09
8.000000000000000000e+01 7.370990187549820527e-08 1.258211211114289786e-08 9.233245991971871052e-09
8.100000000000000000e+01 7.378302259662432581e-08 1.259526691095815987e-08 9.247141780873705435e-09
8.200000000000000000e+01 7.385685029359232261e-08 1.260856859852303964e-08 9.261203914647800140e-09
8.300000000000000000e+01 7.393140377305569178e-08 1.262201602740430569e-08 9.275432114217162579e-09
8.400000000000000000e+01 7.400666151906432789e-08 1.263560804584197623e-08 9.289825594908555892e-09
8.500000000000000000e+01 7.408264082677887419e-08 1.264934349538980973e-08 9.304384050814438028e-09
8.600000000000000000e+01 7.415931714388925307e-08 1.266322120922380002e-08 9.319106610698001144e-09
8.700000000000000000e+01 7.423671091604139496e-08 1.267724001486995492e-08 9.333993022068659758e-09
8.800000000000000000e+01 7.431480080536975554e-08 1.269139872625822551e-08 9.349042428220813578e-09
8.900000000000000000e+01 7.439359967765997330e-08 1.270569615295820765e-08 9.364254452555233262e-09
9.000000000000000000e+01 7.447309171972183770e-08 1.272013109308564806e-08 9.379628300497935514e-09
9.100000000000000000e+01 7.455329041593755277e-08 1.273470234129028756e-08 9.395163580219201491e-09
9.200000000000000000e+01 7.463417460872010945e-08 1.274940867931207073e-08 9.410859407270170354e-09
9.300000000000000000e+01 7.471576119818645163e-08 1.276424888878310427e-08 9.426715415529135691e-09
9.400000000000000000e+01 7.479802734024543005e-08 1.277922173594330314e-08 9.442730659493824780e-09
9.500000000000000000e+01 7.488099096891123170e-08 1.279432598630761478e-08 9.458904784209775537e-09
9.600000000000000000e+01 7.496463202729691894e-08 1.280956039175488936e-08 9.475236872718857021e-09
9.700000000000000000e+01 7.504896506750733937e-08 1.282492370259826482e-08 9.491726497933615541e-09
9.800000000000000000e+01 7.513396746897117563e-08 1.284041465595272768e-08 9.508372664976075555e-09
9.900000000000000000e+01 7.521965599688171844e-08 1.285603198651494734e-08 9.525174967703949394e-09
1.000000000000000000e+02 7.530601055563354535e-08 1.287177441804203531e-08 9.542132431302967332e-09
1.010000000000000000e+02 7.539304486248161688e-08 1.288764067012839772e-08 9.559244573441728600e-09
1.020000000000000000e+02 7.548073980012154178e-08 1.290362945327178994e-08 9.576510412368174683e-09
1.030000000000000000e+02 7.556911102504655139e-08 1.291973947403238245e-08 9.593929466453983518e-09
1.040000000000000000e+02 7.565813658521672284e-08 1.293596942937841233e-08 9.611500692024362549e-09
1.050000000000000000e+02 7.574782931822047071e-08 1.295231801266711590e-08 9.629223543961077632e-09
1.060000000000000000e+02 7.583817281098253261e-08 1.296878390821261718e-08 9.647097042190082224e-09
1.070000000000000000e+02 7.592917847072569777e-08 1.298536579773281965e-08 9.665120580459624474e-09
1.080000000000000000e+02 7.602082566443586119e-08 1.300206235311038811e-08 9.683293091160593005e-09
